PartNumber	SAP_Number	AD_Symbol	PCB_Footprint	Alt_Symbols	MountTechn	
CAP_1391	4TES001531P0000	CAP\CAP_H	CAPC1608X90N		UNDEFINED
RES_1223	E44022110216	RES\RES	RM10_16D2_5L7_0		UNDEFINED
RES_1296	2CKA000061B2701	None	None	None	UNDEFINED
RES_1297	2CKA000061B2725	None	None	None	UNDEFINED
RES_2164	2TFU900915U1001	RES\RES	RESC1608X50N		UNDEFINED
RES_2180	2TFU900968U1001	RES\RES	RESC1608X50N	RESC1608X50M-W	UNDEFINED
RES_2312	2TFU901362U1001	RES\RES	RESMiniMelf-1_4_small	RESMELF3614M,DIOMELF3715M	UNDEFINED
RES_2332	4TES001534P0000	RES\RES	RESC3216X70N		UNDEFINED
RES_2339	4TES001547P0000	RES\RES	RESC3216X70N		UNDEFINED
RES_2322	4TES001522P0000	CN_RES\CN_RES	RM5_08D6_0H15_3_stehend		UNDEFINED
RES_2325	4TES001532P0000	RES\RES	RESC1005X40N		UNDEFINED
TR_0335	4TES001449P0000	CAP+\CAP+_V	DFN1006-3_SOT883		UNDEFINED
TR_0343	2TFU901301U1001	TR_NPN_BEC\TR_NPN_BEC			UNDEFINED
TR_0337	2TFU901111U1001	CN_TR_DUAL_NP_MOSFET\CN_TR_DUAL_NP_MOSFET			UNDEFINED
TR_0341	2TFU901229U1001	TR_NPN_BEC\TR_NPN_BEC	SOT95P240X110-3N		UNDEFINED
TR_0346	4TES001507P0000	FDC5612\FDC5612	SOT95P284X112-6N		UNDEFINED
TR_0347	4TES001508P0000	FDC5612\FDC5612	SOT95P284X112-6N		UNDEFINED
DIO_0721	4TES001442P0000	CAP+\CAP+_V			UNDEFINED
DIO_0739	2TFU901202U1001	DIO_KA	SOD3718X135N		UNDEFINED
ICD_0588	None	None	None	None	UNDEFINED
ICD_0720	1SVR730712B5000	R5F10366\R5F10366_3	SOP65P650X145-20N		UNDEFINED
ICD_0731	4TES001403P0000		BGA784C80P28x28_2300x2300x163		UNDEFINED
ICD_0732	4TES001405P0000	ISO1640DW\ISO1640DW	SOIC127P1030X265-16L	SOIC127P1030X265-16L_W	UNDEFINED
ICD_0736	4TES001433P0000	CAP\CAP_V	LGA52C38P750X400X70		UNDEFINED
ICD_0740	4TES001440P0000	CAP+\CAP+_V	None	None	UNDEFINED
ICD_0754	2TFU901139U1001	STM32F103RX_64P\STM32F103Rx_64P			UNDEFINED
ICD_0742	4TES001446P0000	CAP\CAP_V	BGA491C65P25X25_1700X1700X130		UNDEFINED
ICD_0762	4TES001485P0000	DP83822\DP83822	QFN50P500X500X100EP22-33N	QFN50P500X500X100EP22-325-33N	UNDEFINED
ICD_0763	4TES001486P0000	DP83822\DP83822	QFN50P500X500X100-33N		UNDEFINED
ICD_0765	4TES001496P0000	74LVC1G14\74LVC1G14	SOT65P210X110-5N		UNDEFINED
ICD_0768	4TES001501P0000	DP83822\DP83822	QFP50P900X900X160-48N		UNDEFINED
ICD_0770	4TES001511P0000	DP83826\DP83826	QFN50P500X500X100EP22-33N	QFN50P500X500X100EP22-325-33N	UNDEFINED
ICD_0771	4TES001512P0000	DP83822\DP83822	QFP50P900X900X160-48N		UNDEFINED
ICD_0778	4TES001533P0000	75LBC176\75LBC176	SOIC127P600X175-8AN		UNDEFINED
MEM_0180	4TES001365P0000	S25FL1XXKB\S25FL1xxKB	BGA24C100P5X5_600X800x120		UNDEFINED
MEM_0182	4TES001451P0000	SYM_1100\BGA63_4CE	TFBGA63C80P1100X900X100		UNDEFINED
ICA_0149	2TFU900623U1001	CN_A5950-EP\CN_A5950-EP	SOP65P640X120-16N-EP		UNDEFINED
ICA_0150	4TES001236P0000	UCC27517\UCC27517	SOT-23-5		UNDEFINED
REG_0245	4TES001425P0000	None	None	None	UNDEFINED
REG_0250	4TES001460P0000	CAP\CAP_V	SOIC127P600X175-8N-NO7-1		UNDEFINED
REG_0253	2TFU901196U1001	DIO_Z_KRA2			UNDEFINED
REG_0255	4TES001493P0000	LM2670SD\LM2670SD	LLP14_800X15N		UNDEFINED
OPA_0132	2TFU900617U1001	CN_INA132\CN_INA132	SOIC127P600X175-8N		UNDEFINED
OPA_0133	2TFU900618U1001	CN_INA132\CN_INA132	SOIC127P600X175-8N		UNDEFINED
OPA_0147	4TES001475P0000	OPAMP_2-FACH_321\OPAMP_2-fach_321_2	SOIC127P600X175-8N		UNDEFINED
TRA_0186	2CDG914005P0002	EF25-SVS\EF25-SVS	EF25-Trafo-SVS		UNDEFINED
OSC_0150	4TES001414P0000	None	None	None	UNDEFINED
OSC_0162	4TES001541P0000	QUARTZ\QUARTZ	B_2_0X1_2		UNDEFINED
CON_0934	4TES000686P0000	CON_2X05P\CON_2x05p_1C	BU_2X05_2_54_abg		UNDEFINED
CON_1115	None	None	None	None	UNDEFINED
CON_1195	4TES001289P0000	None	None	None	UNDEFINED
CON_1196	4TES001290P0000	None	None	None	UNDEFINED
CON_1197	4TES001291P0000	None	None	None	UNDEFINED
CON_1199	4TES001293P0000	None	None	None	UNDEFINED
CON_1200	4TES001294P0000	None	None	None	UNDEFINED
CON_1201	4TES001295P0000	None	None	None	UNDEFINED
CON_1202	4TES001296P0000	None	None	None	UNDEFINED
CON_1203	4TES001297P0000	None	None	None	UNDEFINED
CON_1204	4TES001298P0000	None	None	None	UNDEFINED
CON_1205	4TES001299P0000	None	None	None	UNDEFINED
CON_1264	None	None	None	None	UNDEFINED
CON_1265	None	None	None	None	UNDEFINED
CON_1266	None	None	None	None	UNDEFINED
CON_1267	None	None	None	None	UNDEFINED
CON_1268	None	None	None	None	UNDEFINED
CON_1269	None	None	None	None	UNDEFINED
CON_1338	4TES001537P0000	None	None	None	UNDEFINED
REL_0142	4TES001439P0000	CAP\CAP_V			UNDEFINED
REL_0149	2TFU901243U1001	CN_G2RL-2_DPDT\CN_G2RL-2_DPDT			UNDEFINED
MEC_0160	1SAP106609P0001	None	None	None	UNDEFINED
MISC_0198	2TFU900838U1001	CN_FUSE\CN_Fuse	RESC4532X150N		UNDEFINED
MISC_0204	4TES001361P0000	None	None	None	UNDEFINED
MISC_0205	4TES001362P0000	None	None	None	UNDEFINED
MISC_0209	4TES001426P0000	None	None	None	UNDEFINED
